member_id,ssn,first_name,last_name,date_of_birth,gender,address,city,state,zip_code,phone,email,plan_type,payer_id,effective_date,termination_date,created_at
MBR361650,580-13-8654,Kathryn,Hamilton,1993-10-01,F,39740 Gabrielle Harbors,East Sarahmouth,NY,02553,892.761.4293,icampos@example.net,EPO,PAY0002,2024-10-12,,2026-05-17T23:45:43.502593
MBR885884,055-13-7162,Misty,Mason,2006-09-04,F,59996 Johnson Groves,Henrystad,PA,72988,(862)496-1943x1142,gstewart@example.org,PPO,PAY0003,2024-11-04,,2026-05-17T23:45:43.503013
MBR950155,105-17-1431,Aaron,Parker,1964-11-12,M,7888 Garcia Corners,Angelamouth,IL,50994,4468618398,dominicturner@example.com,POS,PAY0006,2024-07-09,,2026-05-17T23:45:43.503437
MBR448321,307-62-1261,Charles,Jackson,1959-02-26,M,3799 Stephen Dale Suite 065,Brockmouth,AZ,58201,969-524-5937x52654,nicholas65@example.org,PPO,PAY0004,2025-03-01,,2026-05-17T23:45:43.503807
MBR835343,185-88-9013,Tara,Gonzalez,2008-03-28,F,737 Guerra Cliff,Chambersberg,NY,83513,834-226-6179x7968,jacqueline89@example.net,POS,PAY0006,2025-09-10,,2026-05-17T23:45:43.504187
MBR333238,681-46-2726,Thomas,Rodriguez,1957-04-07,M,656 Alex Green,New Julie,OH,73638,001-493-775-6798,webbkenneth@example.org,POS,PAY0006,2026-03-03,,2026-05-17T23:45:43.504604
MBR933980,320-44-7461,Audrey,Shepard,1950-01-06,F,757 Samuel Square,Floresport,GA,06357,001-810-951-2382x825,laurensoto@example.org,PPO,PAY0005,2024-11-08,,2026-05-17T23:45:43.505034
MBR517821,203-58-9703,Martin,Reynolds,1942-05-12,M,0334 Barbara Union Apt. 553,Wilsonfort,NJ,69669,+1-659-369-6915x5792,lawrenceallen@example.org,EPO,PAY0005,2025-12-25,,2026-05-17T23:45:43.505470
MBR392683,429-77-2259,Clayton,Steele,1975-02-19,M,2782 Tracy Dam Apt. 579,Port Michaeltown,VA,64019,(936)988-7676,christopherjohnson@example.org,HDHP,PAY0010,2025-01-09,,2026-05-17T23:45:43.505891
MBR984642,173-59-9268,Dorothy,Hill,1976-12-16,F,819 Joseph Plains Suite 807,South Curtis,MO,86179,001-834-407-4517x13395,kristenli@example.org,EPO,PAY0007,2024-08-07,,2026-05-17T23:45:43.506307
MBR373903,332-91-4795,Kelly,Patel,1980-12-27,M,481 Sydney Turnpike Suite 042,East Dustin,IL,42718,367.329.4667,rrobertson@example.net,HDHP,PAY0005,2025-08-30,2025-11-03,2026-05-17T23:45:43.506698
MBR725550,596-01-1527,Taylor,Wood,2005-01-14,F,518 Robinson Meadow Apt. 745,Matthewshire,AZ,17618,001-475-900-1701,bsmith@example.org,EPO,PAY0008,2025-06-13,2025-10-18,2026-05-17T23:45:43.507093
MBR636265,310-21-4490,Whitney,Blankenship,2000-05-27,F,541 Beck Run,North Randy,NY,40544,001-936-211-0371x2938,dominguezlisa@example.com,POS,PAY0006,2026-02-19,,2026-05-17T23:45:43.507513
MBR843215,092-94-1679,Michael,Woods,1955-12-15,M,5426 Darlene Springs,North Alyssa,AZ,01611,+1-427-353-2697x311,bbell@example.com,HMO,PAY0010,2025-01-01,,2026-05-17T23:45:43.507875
MBR173372,255-71-9847,Richard,Wright,1984-03-29,M,043 Julie Hill Apt. 376,East Victorland,NJ,69744,4559269658,smithcarlos@example.com,HDHP,PAY0009,2023-09-24,,2026-05-17T23:45:43.508286
MBR230679,519-37-8210,Cindy,Livingston,2004-12-06,F,6188 Joshua Inlet Apt. 832,Peterland,MI,41155,001-663-403-1617x990,smithderrick@example.org,HDHP,PAY0008,2025-01-24,,2026-05-17T23:45:43.508716
MBR442027,802-93-4248,Carla,Benton,1975-12-19,F,2410 Roman Groves,West Jennifershire,WA,82752,777-485-0792,kerri91@example.org,EPO,PAY0007,2025-07-28,,2026-05-17T23:45:43.509073
MBR797229,251-06-7730,Patrick,Smith,1998-10-22,M,2208 Walker Gateway Suite 541,Davidton,WA,24008,380.961.7445,woodkelly@example.com,PPO,PAY0003,2023-06-05,,2026-05-17T23:45:43.509499
MBR974224,506-99-3202,Nancy,Sanchez,1965-06-08,F,06038 Fields Square,West Aaronfurt,TX,97242,001-541-838-3670x2410,stephen19@example.org,EPO,PAY0003,2025-11-21,,2026-05-17T23:45:43.509860
MBR923927,607-73-1021,Kathy,Walsh,1967-03-18,F,234 Rosales Unions Suite 557,Jesusborough,MD,18341,001-991-621-2775x61853,hbaker@example.org,HDHP,PAY0001,2023-09-10,,2026-05-17T23:45:43.510246
MBR563638,714-78-0661,Brooke,Parks,1996-08-10,F,2135 Palmer Springs,Jorgeburgh,OH,04574,(478)583-1712x1003,owatson@example.net,HDHP,PAY0003,2026-05-15,,2026-05-17T23:45:43.510635
MBR934692,023-09-3240,Angela,Willis,2002-10-21,F,15107 Gary Ports Suite 670,Vegaburgh,IL,46893,524.647.2099,jjenkins@example.com,HMO,PAY0004,2023-09-10,,2026-05-17T23:45:43.511024
MBR763686,205-83-8615,Amy,Ramirez,1949-09-18,F,806 Castillo Tunnel,Coopershire,WI,66350,564-420-5930x40785,wrightjohn@example.net,EPO,PAY0005,2025-02-26,,2026-05-17T23:45:43.511486
MBR887625,590-50-5814,Robert,Stark,1944-03-06,M,39559 Jade Knoll,New Stacy,GA,65018,+1-542-270-1039,nsmith@example.org,EPO,PAY0002,2024-04-21,,2026-05-17T23:45:43.511848
MBR254511,061-03-2421,Robert,Peterson,1952-06-13,M,85156 Matthew Islands,East Jessica,TX,57762,+1-475-428-9539x2644,rushstacy@example.com,HMO,PAY0004,2024-09-30,,2026-05-17T23:45:43.512253
MBR740967,187-78-5214,Samuel,Townsend,1978-12-28,M,917 Mark Club,West Toni,FL,22506,+1-215-870-4331x5410,koconnor@example.com,POS,PAY0003,2023-07-06,,2026-05-17T23:45:43.512622
MBR703634,104-62-9471,Katherine,Gray,1977-07-13,F,71040 Green Cove,West Georgefurt,OH,21591,001-418-215-9970x6296,riveraterri@example.com,POS,PAY0007,2024-12-20,,2026-05-17T23:45:43.513049
MBR254739,272-85-4613,Melissa,Bowen,1990-01-18,F,10698 Hernandez Lake Apt. 614,Gonzaleztown,TX,27626,(641)371-4677,ylopez@example.com,HMO,PAY0002,2025-09-02,,2026-05-17T23:45:43.513454
MBR943170,270-29-4401,Chelsea,Williams,1970-04-19,F,11586 Angela Ville,Cardenaschester,IN,70691,+1-479-337-4160x89899,kthompson@example.org,POS,PAY0002,2025-05-08,,2026-05-17T23:45:43.513846
MBR989545,700-56-3309,Robert,Martinez,1969-03-09,M,451 Paul Locks,Melissahaven,NY,60552,3993861622,floydmikayla@example.com,POS,PAY0002,2023-09-15,,2026-05-17T23:45:43.514382
MBR800005,586-78-7751,Shawn,Baker,1984-12-06,M,46299 Williams Isle,North Julie,IN,35704,(705)644-4713x247,fjacobs@example.org,HDHP,PAY0008,2025-06-09,,2026-05-17T23:45:43.514834
MBR564071,778-67-6127,Jessica,Mcintyre,1968-01-31,F,214 Taylor Vista,East Jamesborough,WI,08054,807.305.3457,allentracy@example.com,HDHP,PAY0009,2025-06-07,,2026-05-17T23:45:43.516216
MBR674485,359-45-2680,Cassandra,Harrell,1980-04-23,F,140 Williams Walk Apt. 333,Denisehaven,MA,03129,001-707-922-9034x94466,jeffery48@example.net,PPO,PAY0001,2025-09-19,,2026-05-17T23:45:43.516894
MBR888295,864-48-9199,Jennifer,Garcia,1975-03-08,F,1715 Davidson Wall Suite 443,New Kathy,GA,07942,+1-565-720-7446x660,ginalittle@example.com,EPO,PAY0001,2026-03-10,,2026-05-17T23:45:43.517616
MBR387936,866-22-9147,Susan,Powers,1974-11-24,F,1724 Stacey Isle,East Michaelport,MA,55613,554-394-7170x99917,amoreno@example.org,HMO,PAY0007,2024-08-25,,2026-05-17T23:45:43.518353
MBR452161,351-53-9330,Shelby,Hernandez,2007-11-26,F,52175 Lawrence Centers Apt. 743,New Kathy,NJ,64670,001-712-296-6667x60083,katherine83@example.org,HDHP,PAY0009,2024-03-23,,2026-05-17T23:45:43.518863
MBR342495,899-45-5114,Michael,Sims,1957-04-22,M,68942 Madison Hills,Stephenhaven,WA,78668,556.225.7532x60332,daviddawson@example.org,PPO,PAY0002,2024-05-02,2025-10-22,2026-05-17T23:45:43.519303
MBR527398,050-77-0786,James,Bowman,1992-11-09,M,001 Wallace Crossing,Thomasberg,NJ,27435,001-304-661-8499x261,glovertyler@example.net,HDHP,PAY0002,2025-08-24,2026-04-23,2026-05-17T23:45:43.519756
MBR316881,367-91-6714,Christina,Baker,1975-12-22,F,08737 Young Bridge Apt. 197,North Kimberly,AZ,10337,001-714-737-4470x1204,grodgers@example.org,POS,PAY0005,2024-03-25,,2026-05-17T23:45:43.520155
MBR902784,337-46-7172,Adam,Taylor,1984-06-01,M,155 Daniel Locks Suite 467,Banksburgh,MD,15319,(402)816-9797,cheryl27@example.com,POS,PAY0010,2024-02-05,,2026-05-17T23:45:43.520541
MBR468845,671-41-0203,Ashley,Jenkins,1943-07-03,F,588 Ryan Stream,South Michael,MI,89144,+1-962-789-0028x7721,markramirez@example.net,POS,PAY0003,2023-08-23,2024-10-02,2026-05-17T23:45:43.520978
MBR870319,081-59-7278,Courtney,Schneider,1967-10-26,F,77517 Curtis Loop Apt. 880,Port Cassandraport,MO,67129,+1-937-755-0375,wwilson@example.net,HDHP,PAY0002,2024-05-16,,2026-05-17T23:45:43.521350
MBR386193,820-38-8974,Daniel,Peterson,1996-11-05,M,102 Taylor Stravenue Suite 149,East David,AZ,51998,973.951.6091,tamarasmith@example.net,POS,PAY0007,2026-01-25,,2026-05-17T23:45:43.521792
MBR801364,495-66-2904,Anthony,Mcconnell,1997-06-15,M,216 Gordon Lights,Pettybury,WA,36361,(554)572-2698x4858,claudiaroberts@example.com,PPO,PAY0005,2025-11-10,,2026-05-17T23:45:43.522239
MBR752483,183-65-8889,Tammy,Anderson,1988-09-18,F,158 Aguilar Shores Suite 846,New Danielfurt,MO,19549,6035424420,howardshaun@example.net,HMO,PAY0004,2026-02-19,,2026-05-17T23:45:43.522682
MBR795205,761-83-9196,Shawna,Stevenson,1999-03-24,F,84066 Frye Spur Suite 800,Jamesmouth,TX,30064,+1-359-889-3347x2122,pattersonangela@example.org,HMO,PAY0004,2024-04-29,,2026-05-17T23:45:43.523136
MBR584125,727-20-0655,Candace,Singleton,1940-10-04,F,9094 Tyler Plaza,Charlesmouth,IL,69365,828.318.2688,jeffrey35@example.com,HMO,PAY0005,2024-10-11,2025-10-08,2026-05-17T23:45:43.523510
MBR321941,544-61-9197,Heather,Robinson,1991-08-05,F,57399 Susan Springs,Patrickville,MA,51078,584-708-5887x704,vaughangary@example.net,EPO,PAY0008,2026-01-01,,2026-05-17T23:45:43.523925
MBR497542,645-28-6951,Kim,Sims,1954-09-20,F,86120 Love Camp,North Brianview,NC,73650,793-246-6766,inunez@example.org,POS,PAY0003,2026-03-23,,2026-05-17T23:45:43.524305
MBR593152,047-90-1190,Margaret,Montgomery,1991-10-26,F,144 Juan Mill Suite 607,New Jeffrey,TX,98379,(884)324-5088x2100,jason53@example.com,HDHP,PAY0003,2025-11-11,,2026-05-17T23:45:43.524652
MBR466960,189-29-4141,Taylor,York,1950-01-25,M,29087 Kelly Cliff,Coreyshire,GA,64358,652-431-4913x57759,lindsey62@example.org,HMO,PAY0009,2024-01-22,,2026-05-17T23:45:43.525002
MBR359295,447-36-5890,Erik,Floyd,1988-11-02,M,577 Howard Inlet,Arnoldburgh,OH,85114,+1-814-528-3411x080,arnoldamy@example.net,HMO,PAY0003,2026-02-05,,2026-05-17T23:45:43.525454
MBR596564,229-99-9661,John,Rowe,1965-04-08,M,78816 Shaw Shore Apt. 928,South Erik,NY,74734,001-627-750-3731,bradclark@example.com,HDHP,PAY0001,2025-01-15,,2026-05-17T23:45:43.525881
MBR368690,041-84-5310,James,Hardin,2000-05-13,M,844 Nicholas Lane,Brianaland,VA,68221,463-986-5577x908,jerryrobertson@example.com,PPO,PAY0001,2023-07-28,,2026-05-17T23:45:43.526284
MBR271720,735-16-3774,Daniel,Lopez,1965-01-09,M,1777 Brittany Rue Suite 030,New Brittany,MI,18159,+1-280-692-0242x8699,robinsoncatherine@example.com,HMO,PAY0006,2025-12-07,,2026-05-17T23:45:43.526695
MBR703766,616-19-9547,Sean,Jackson,1996-11-17,M,842 Nielsen Ranch,East Nicholasberg,WA,14731,9382862912,davisdonna@example.net,POS,PAY0006,2025-02-13,,2026-05-17T23:45:43.527131
MBR824161,442-67-6893,Joshua,Smith,2004-03-09,M,86376 Chapman Streets Apt. 624,Cannonland,GA,37629,+1-886-543-0098x180,robert12@example.com,HMO,PAY0008,2026-04-05,2026-05-06,2026-05-17T23:45:43.527537
MBR729577,434-73-5991,Marisa,King,1998-07-22,F,636 White Points Suite 449,Kimfurt,NY,96941,(713)272-1386,paulfields@example.org,HDHP,PAY0008,2025-08-26,,2026-05-17T23:45:43.527973
MBR549186,091-09-4311,Rodney,Ruiz,1981-03-22,M,1906 Mendez Pike,Jenniferton,VA,23474,+1-477-203-8430x9883,john02@example.org,HMO,PAY0009,2025-03-23,,2026-05-17T23:45:43.528329
MBR540463,416-76-3282,Yesenia,Chan,1964-05-28,F,118 Barber Points,Michaelview,TN,30162,+1-337-669-0426x818,stacey84@example.net,HMO,PAY0005,2026-03-22,2026-04-29,2026-05-17T23:45:43.528699
